Date,DayName,StartOfWeek,StartOfMonth,StartOfQuarter,MonthName,MonthNumber,StartOfYear,Year
2020-06-19,Friday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-20,Saturday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-21,Sunday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-22,Monday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-23,Tuesday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-24,Wednesday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-25,Thursday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-26,Friday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-27,Saturday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-28,Sunday,2020-06-22,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-29,Monday,2020-06-29,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-30,Tuesday,2020-06-29,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-07-01,Wednesday,2020-06-29,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-02,Thursday,2020-06-29,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-03,Friday,2020-06-29,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-04,Saturday,2020-06-29,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-05,Sunday,2020-06-29,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-06,Monday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-07,Tuesday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-08,Wednesday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-09,Thursday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-10,Friday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-11,Saturday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-12,Sunday,2020-07-06,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-13,Monday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-14,Tuesday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-15,Wednesday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-16,Thursday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-17,Friday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-18,Saturday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-19,Sunday,2020-07-13,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-20,Monday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-21,Tuesday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-22,Wednesday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-23,Thursday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-24,Friday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-25,Saturday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-26,Sunday,2020-07-20,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-27,Monday,2020-07-27,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-28,Tuesday,2020-07-27,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-29,Wednesday,2020-07-27,2020-07-01,2020-07-01,July,7,2020-01-01,2020
